year,predicted,lower_90,upper_90
2024,20.108957219251394,16.727747575260988,23.4901668632418
2025,20.467589763178037,17.08638011918763,23.848799407168443
2026,20.822116119174982,17.440906475184576,24.203325763165388
2027,21.17253628724221,17.791326643251804,24.553745931232616
2028,21.51885026737974,18.137640623389334,24.900059911370146
2029,21.86105805958755,18.479848415597143,25.242267703577955
2030,22.19915966386564,18.817950019875234,25.580369307856046
2031,22.53315508021398,19.151945436223574,25.914364724204386
2032,22.863044308632652,19.481834664642246,26.24425395262306
2033,23.188827349121574,19.807617705131168,26.57003699311198
2034,23.510504201680806,20.1292945576904,26.891713845671212
2035,23.828074866310324,20.446865222319918,27.20928451030073
2036,24.14153934301008,20.760329699019675,27.522748987000487
2037,24.450897631780176,21.06968798778977,27.832107275770582
2038,24.75614973262052,21.374940088630115,28.137359376610927
2039,25.05729564553117,21.676086001540764,28.438505289521576
2040,25.35433537051204,21.973125726521634,28.735545014502446
2041,25.647268907563248,22.266059263572842,29.028478551553654
2042,25.936096256684735,22.55488661269433,29.31730590067514
2043,26.220817417876496,22.83960777388609,29.602027061866902
2044,26.501432391138536,23.12022274714813,29.882642035128942
2045,26.777941176470858,23.39673153248045,30.159150820461264
2046,27.050343773873458,23.66913412988305,30.431553417863864
2047,27.318640183346293,23.937430539355887,30.6998498273367
2048,27.5828304048896,24.201620760899193,30.964040048880005
2049,27.842914438503016,24.46170479451261,31.22412408249342
2050,28.098892284186743,24.717682640196337,31.48010192817715
2051,28.35076394194077,24.969554297950364,31.731973585931176
